"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","Rectum","159","Age-gender-standardised","18.8","16","22",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","505","Non-standardised","49.7","45.4","54.2",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Non-small cell lung cancer","505","Age-gender-standardised","61.2","55.9","66.8",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","53","Non-standardised","5.2","3.9","6.8",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","Small cell lung cancer","53","Age-gender-standardised","6.4","4.8","8.4",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","2309","Non-standardised","227.2","218","236.6",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","BCC","2309","Age-gender-standardised","283","271.5","294.9",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","236","Non-standardised","23.2","20.4","26.4",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Melanoma","236","Age-gender-standardised","27.8","24.4","31.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","29","Non-standardised","2.9","1.9","4.1",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","Rare","29","Age-gender-standardised","3.7","2.5","5.3",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","792","Non-standardised","77.9","72.6","83.5",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","cSCC","792","Age-gender-standardised","103.2","96.1","110.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","607","Non-standardised","59.7","55.1","64.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Bowel","All Bowel","607","Age-gender-standardised","72.7","66.9","78.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","765","Non-standardised","75.3","70","80.8",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Breast","All Breast","765","Age-gender-standardised","82.1","76.3","88.1",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","558","Non-standardised","54.9","50.4","59.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Lung","All Lung","558","Age-gender-standardised","67.6","62","73.5",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","3366","Non-standardised","331.2","320.1","342.6",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","All stages","Skin cancer","All Skin cancer","3366","Age-gender-standardised","417.8","403.6","432.3",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Bowel","Colon","62","Non-standardised","6.1","4.7","7.8",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Bowel","Colon","62","Age-gender-standardised","7.6","5.8","9.8",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Bowel","Rectosigmoid junction","8","Non-standardised","0.8","0.3","1.6",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Bowel","Rectosigmoid junction","8","Age-gender-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Bowel","Rectum","17","Non-standardised","1.7","1","2.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Bowel","Rectum","17","Age-gender-standardised","1.9","1.1","3.1","[note1]"
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Lung","Non-small cell lung cancer","77","Non-standardised","7.6","6","9.5",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Lung","Non-small cell lung cancer","77","Age-gender-standardised","9.3","7.3","11.6",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Lung","Small cell lung cancer","6","Non-standardised","0.6","0.2","1.3",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Lung","Small cell lung cancer","6","Age-gender-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Skin cancer","Melanoma","27","Non-standardised","2.7","1.8","3.9",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Skin cancer","Melanoma","27","Age-gender-standardised","3.3","2.1","4.8",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Skin cancer","Rare","15","Non-standardised","1.5","0.8","2.4",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Missing","Skin cancer","Rare","15","Age-gender-standardised","1.9","1.1","3.2","[note1]"
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Stage 1 & 2","Bowel","Colon","192","Non-standardised","18.9","16.3","21.8",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Stage 1 & 2","Bowel","Colon","192","Age-gender-standardised","23.1","19.9","26.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Stage 1 & 2","Bowel","Rectosigmoid junction","9","Non-standardised","0.9","0.4","1.7",NA
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Stage 1 & 2","Bowel","Rectosigmoid junction","9","Age-gender-standardised","[u]","[u]","[u]","[note2]"
"2022","Persons","All ages","Integrated Care Board","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","All quintiles","Stage 1 & 2","Bowel","Rectum","66","Non-standardised","6.5","5","8.3",NA
